20-11-2024 15:32:15 | parse_log_file | WARNING | Line 105: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 106: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 108: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 109: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 128: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 129: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 131: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 132: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 134: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 135: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 137: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 138: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 148: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 149: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 151: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 152: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 19: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 20: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 22: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 23: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 25: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 26: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 28: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 29: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 40: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 41: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 43: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 44: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 88: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 89: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 91: Skipped due to unexpected format.
20-11-2024 15:32:15 | parse_log_file | WARNING | Line 92: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 39: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 40: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 42: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 43: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 45: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 46: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 48: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 49: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 60: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 61: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 63: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 64: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 84: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 85: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 87: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 88: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 90: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 91: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 93: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 94: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 105: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 106: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 108: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 109: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 128: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 129: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 131: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 132: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 134: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 135: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 137: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 138: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 148: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 149: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 151: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 152: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 19: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 20: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 22: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 23: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 25: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 26: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 28: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 29: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 40: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 41: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 43: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 44: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 88: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 89: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 91: Skipped due to unexpected format.
20-11-2024 15:32:25 | parse_log_file | WARNING | Line 92: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 39: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 40: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 42: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 43: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 45: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 46: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 48: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 49: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 60: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 61: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 63: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 64: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 84: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 85: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 87: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 88: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 90: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 91: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 93: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 94: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 105: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 106: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 108: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 109: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 128: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 129: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 131: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 132: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 134: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 135: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 137: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 138: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 148: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 149: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 151: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 152: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 19: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 20: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 22: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 23: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 25: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 26: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 28: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 29: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 40: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 41: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 43: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 44: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 88: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 89: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 91: Skipped due to unexpected format.
20-11-2024 15:32:35 | parse_log_file | WARNING | Line 92: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 39: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 40: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 42: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 43: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 45: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 46: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 48: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 49: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 60: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 61: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 63: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 64: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 84: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 85: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 87: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 88: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 90: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 91: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 93: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 94: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 105: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 106: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 108: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 109: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 128: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 129: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 131: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 132: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 134: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 135: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 137: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 138: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 148: Skipped due to unexpected format.
20-11-2024 15:32:45 | parse_log_file | WARNING | Line 149: Skipped due to unexpected format.
